bodyparts,nose,nose
coords,x,y
618,866.0838623046880,279.6803283691410
619,855.5116577148440,271.55718994140600
620,842.7046508789060,267.2650451660160
621,833.999267578125,261.1336364746090
622,823.199951171875,256.9019470214840
623,814.9096069335940,253.80975341796900
624,812.2689819335940,243.90174865722700
625,809.3348388671880,240.23193359375
626,809.3881225585940,237.91159057617200
627,804.4489135742190,233.1962432861330
628,799.3870239257810,225.7124481201170
629,784.0192260742190,221.73065185546900
630,773.4127197265630,210.737060546875
631,771.2913818359380,201.76043701171900
632,744.3995971679690,302.5237121582030
633,741.7744140625,303.2547912597660
634,739.6348266601560,305.90185546875
635,740.9004516601560,219.72413635253900
636,738.5156860351560,220.3257293701170
637,735.8715209960940,219.8799591064450
638,778.6469116210940,231.31085205078100
639,782.7639770507810,235.5886993408200
640,778.6993408203130,235.899658203125
641,775.3368530273440,240.7920379638670
642,732.4615478515630,323.7079162597660
643,740.3822021484380,325.3272399902340
644,741.7418823242190,324.8862609863280
645,738.668212890625,253.57290649414100
646,729.8051147460940,257.7391357421880
647,718.787841796875,259.021240234375
648,707.2142333984380,278.85601806640600
649,687.7530517578130,286.4537658691410
650,679.6578979492190,280.8678283691410
651,670.0783081054690,324.3536376953130
652,675.860107421875,281.3610534667970
653,664.086669921875,328.7884521484380
654,647.1851806640630,322.760009765625
655,649.1995239257810,290.1586608886720
656,623.8435668945310,289.6501770019530
657,651.0548706054690,265.2645568847660
658,593.1262817382810,291.7152099609380
659,579.8487548828130,292.46258544921900
660,568.4895629882810,303.3991394042970
661,552.5579223632810,292.931884765625
662,533.2485961914060,304.4673156738280
663,519.9599609375,307.6175842285160
664,509.5662841796880,309.7477111816410
665,504.7879333496090,319.6708068847660
666,493.9172668457030,311.5567626953130
667,482.3456115722660,310.77301025390600
668,461.63189697265600,300.501708984375
669,449.57562255859400,297.6675109863280
670,437.084716796875,295.65802001953100
671,420.8684387207030,295.53302001953100
672,408.43206787109400,295.9562072753910
673,398.7648010253910,300.70318603515600
674,384.28900146484400,301.6323547363280
675,370.2092590332030,299.14007568359400
676,357.8770446777340,294.62200927734400
677,348.1986999511720,291.3955078125
678,342.49456787109400,327.58843994140600
679,336.6027526855470,322.78900146484400
680,326.99365234375,323.7057800292970
681,325.2119445800780,325.5754699707030
682,323.5364685058590,324.8951721191410
683,348.7648620605470,253.63153076171900
684,349.84808349609400,252.75135803222700
685,324.6869201660160,293.1658630371090
686,322.5262451171880,287.8959045410160
687,320.1170349121090,281.6202087402340
688,318.4540100097660,279.8910217285160
689,322.3326110839840,281.3840637207030
690,345.2164306640630,254.2329559326170
691,344.7112121582030,253.01123046875
692,343.57611083984400,252.78582763671900
693,341.0604553222660,253.575439453125
694,339.508544921875,253.4322967529300
695,338.811767578125,250.6534423828130
696,386.8529357910160,231.03233337402300
697,358.22430419921900,304.74078369140600
698,354.3111572265630,304.5622253417970
699,560.6305541992190,307.4992370605470
700,549.6693115234380,302.54461669921900
701,341.13702392578100,304.3470764160160
702,337.8240051269530,299.0549621582030
703,530.9216918945310,276.71600341796900
704,328.4906005859380,293.7436218261720
705,335.44012451171900,294.38970947265600
