scorer,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000
bodyparts,nose,nose,nose,left ear,left ear,left ear,right ear,right ear,right ear,ear center,ear center,ear center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
87,353.1968994140625,221.5637969970703,0.9937826991081238,333.23321533203125,255.06341552734375,0.9908478260040283,388.7063903808594,237.3562469482422,0.9986903071403503,360.7231140136719,245.20237731933594,0.9972133040428162
88,353.2071533203125,226.8883514404297,0.914406418800354,332.8299560546875,258.0753173828125,0.9918780326843262,385.007080078125,241.28250122070312,0.9994046688079834,358.72784423828125,248.65728759765625,0.991462767124176
89,341.65899658203125,238.492919921875,0.6702432632446289,331.1092224121094,266.21484375,0.9801605343818665,387.6556091308594,244.88365173339844,0.9986334443092346,358.23297119140625,255.43414306640625,0.9952991008758545
90,387.4856872558594,219.74237060546875,0.9971488118171692,334.4757385253906,263.1962890625,0.9524509310722351,395.49932861328125,263.2642517089844,0.9992592930793762,367.4766540527344,263.0898742675781,0.9979009628295898
91,429.0867614746094,234.6422882080078,0.9912106990814209,349.284423828125,257.7558898925781,0.9721883535385132,403.9691467285156,280.2491760253906,0.9974122643470764,377.268798828125,270.1222839355469,0.9989627599716187
92,455.5032653808594,237.80137634277344,0.9981939196586609,368.0301208496094,254.18780517578125,0.9677178263664246,419.550537109375,286.67852783203125,0.999255359172821,393.5408020019531,271.62176513671875,0.9992511868476868
93,468.6495666503906,254.33172607421875,0.997623860836029,385.749755859375,253.51246643066406,0.9746127724647522,429.84271240234375,290.1460876464844,0.9982360601425171,409.67401123046875,273.7324523925781,0.9994100332260132
94,478.91162109375,259.886962890625,0.9980315566062927,399.42901611328125,253.0373992919922,0.987820565700531,441.4579162597656,290.7300109863281,0.9988719820976257,420.6634826660156,272.0515441894531,0.9998579025268555
95,489.2967224121094,271.54864501953125,0.9965408444404602,409.29150390625,254.6827392578125,0.992169201374054,447.8450622558594,292.74078369140625,0.9993082284927368,430.38677978515625,273.71697998046875,0.9997460246086121
96,496.45501708984375,277.37969970703125,0.9987671375274658,416.7403564453125,255.35389709472656,0.9936374425888062,454.82049560546875,297.31732177734375,0.9985772371292114,435.4185791015625,276.50567626953125,0.9999152421951294
